family,parameter_name,parameter_value,mean_x,mean_k,delta_x,delta_k,delta_p,uncertainty_product,ratio_to_hbar_over_2,C,D,S_balance,pass_fail
gaussian_width_sweep,sigma,8.837499999999999,-1.542835997847547e-09,3.4878684980135424e-18,8.837497766068884,0.05657707199512182,0.05657707199512182,0.4999997473676075,0.999999494735215,0.11315420116306396,0.05657707199512182,0.6666664421065164,FAIL
gaussian_width_sweep,sigma,9.125,-4.031927569592142e-09,6.975736996027085e-18,9.124993972098137,0.05479448439039301,0.05479448439039301,0.49999933976656163,0.9999986795331233,0.10958911348956842,0.05479448439039301,0.6666660797943174,FAIL
gaussian_width_sweep,sigma,9.4125,-9.643633114286843e-09,-6.975736996027085e-18,9.412485128103011,0.05312076608739355,0.05312076608739355,0.4999984207910306,0.9999968415820611,0.10624186773099671,0.05312076608739355,0.6666652629260216,FAIL
gaussian_width_sweep,sigma,9.7,-2.1331435229310358e-08,-1.7439342490067712e-17,9.69996609897344,0.051546211773370924,0.051546211773370924,0.49999650673220364,0.9999930134644073,0.10309314381064982,0.051546211773370924,0.6666635615347065,FAIL
gaussian_width_sweep,sigma,9.987499999999999,-4.402763500999107e-08,-1.395147399205417e-17,9.987427954981037,0.05006221742235151,0.05006221742235151,0.49999278977233214,0.9999855795446643,0.10012587870545481,0.05006221742235151,0.6666602575468629,FAIL
gaussian_width_sweep,sigma,10.274999999999999,-8.544673579802264e-08,-3.4878684980135424e-17,10.27485615308513,0.04866111981866278,0.04866111981866278,0.4999860063848,0.9999720127696,0.09732496349349304,0.04866111981866278,0.6666542277838834,FAIL
gaussian_width_sweep,sigma,10.5625,-1.5697125335667472e-07,-4.8830158972189594e-17,10.562228348188563,0.047336061647256844,0.047336061647256844,0.49997429222225764,0.9999485844445153,0.09467699116459707,0.047336061647256844,0.6666438149194178,FAIL
gaussian_width_sweep,sigma,10.85,-2.745429911188424e-07,-7.498917270729116e-17,10.849511943597864,0.046080877987990265,0.046080877987990265,0.4999550361021763,0.9999100722043526,0.09217004462490988,0.046080877987990265,0.6666266975618311,FAIL
gaussian_width_sweep,sigma,11.1375,-4.594693674142558e-07,-1.1161179193643336e-16,11.136661543079674,0.044890001008323806,0.044890001008323806,0.4999247478982075,0.999849495796415,0.08979351631830013,0.044890001008323806,0.6665997725560847,FAIL
gaussian_width_sweep,sigma,11.424999999999999,-7.390542643148645e-07,-1.691616221536568e-16,11.42361650071787,0.0437583802938889,0.0437583802938889,0.4998789551699569,0.9997579103399138,0.08753795262096478,0.0437583802938889,0.6665590625814835,FAIL
gaussian_width_sweep,sigma,11.712499999999999,-1.14697569705835e-06,-2.2671145237088026e-16,11.710298773560439,0.0426814166677569,0.0426814166677569,0.4998121412582557,0.9996242825165114,0.08539491769908712,0.0426814166677569,0.6664996602053419,FAIL
gaussian_width_sweep,sigma,12.0,-1.7233557234042074e-06,-3.086763620741985e-16,11.996611265250042,0.04165490760237343,0.04165490760237343,0.49971773379558265,0.9994354675911653,0.08335687286096903,0.04165490760237343,0.6664157161533237,FAIL
boundary_softness_sweep,softness,0.05,0.0,-4.185442197616251e-17,3.507939598800271,0.3371570491545718,0.3371570491545718,1.182726563743972,2.365453127487944,0.2850676221283054,0.3371570491545718,0.9162851789229334,PASS
boundary_softness_sweep,softness,0.17375000000000002,1.734723475976807e-16,-1.395147399205417e-17,3.4802550927008964,0.2163447349331606,0.2163447349331606,0.7529348655301576,1.5058697310603153,0.2873352594460683,0.2163447349331606,0.859056295058412,PASS
boundary_softness_sweep,softness,0.2975,0.0,-2.790294798410834e-17,3.4506872579192094,0.18923173968777432,0.18923173968777432,0.6529795529344876,1.3059591058689752,0.28979734332769347,0.18923173968777432,0.7900636783749058,PASS
boundary_softness_sweep,softness,0.42124999999999996,1.734723475976807e-16,0.0,3.419778149037388,0.17734673724411312,0.17734673724411312,0.6064864968304932,1.2129729936609863,0.2924166295059787,0.17734673724411312,0.7550471143424933,PASS
boundary_softness_sweep,softness,0.545,1.734723475976807e-16,-1.395147399205417e-17,3.3882181999606256,0.17091925414615952,0.17091925414615952,0.5791117276217133,1.1582234552434265,0.2951403779164299,0.17091925414615952,0.7334651722135814,PASS
boundary_softness_sweep,softness,0.6687500000000001,0.0,-2.790294798410834e-17,3.3567820392684338,0.16707653258737432,0.16707653258737432,0.5608395037725453,1.1216790075450906,0.29790435849020414,0.16707653258737432,0.7186382743614278,PASS
boundary_softness_sweep,softness,0.7925,1.734723475976807e-16,-4.185442197616251e-17,3.326243776842902,0.16465050838421094,0.16465050838421094,0.5476677288670017,1.0953354577340033,0.30063942004540856,0.16465050838421094,0.7077329566967507,PASS
boundary_softness_sweep,softness,0.91625,0.0,0.0,3.2972924807970245,0.1630706767637335,0.1630706767637335,0.5376917163315406,1.0753834326630811,0.3032791315370288,0.1630706767637335,0.6993491746380858,PASS
boundary_softness_sweep,softness,1.04,0.0,-5.580589596821668e-17,3.2704723780504317,0.16202359808907074,0.16202359808907074,0.5298937021426505,1.059787404285301,0.3057662271392753,0.16202359808907074,0.6927196332675021,PASS
boundary_softness_sweep,softness,1.16375,0.0,-1.813691618967042e-16,3.2461592903863297,0.1613228613564253,0.1613228613564253,0.5236797051438657,1.0473594102877315,0.3080563553862696,0.1613228613564253,0.687388174006076,PASS
boundary_softness_sweep,softness,1.2875,-1.734723475976807e-16,-5.162045377060043e-16,3.2245676906727434,0.16085132008862488,0.16085132008862488,0.5186759697598394,1.0373519395196789,0.31011909065895876,0.16085132008862488,0.683063379007016,PASS
boundary_softness_sweep,softness,1.4112500000000001,0.0,-1.227729711300767e-15,3.205775451436003,0.1605323402790667,0.1605323402790667,0.5146306356282031,1.0292612712564062,0.3119370071761407,0.1605323402790667,0.6795460537022299,PASS
boundary_softness_sweep,softness,1.535,1.734723475976807e-16,-2.636828584498238e-15,3.1897547883887367,0.16031421189238756,0.16031421189238756,0.5113630250305098,1.0227260500610196,0.3135037224929831,0.16031421189238756,0.676691194057508,PASS
boundary_softness_sweep,softness,1.65875,0.0,-4.910918845203068e-15,3.1764022253713398,0.16016116137803205,0.16016116137803205,0.5087362694192392,1.0174725388384784,0.31482159029238793,0.16016116137803205,0.6743872732849345,PASS
boundary_softness_sweep,softness,1.7825,-1.734723475976807e-16,-8.384835869224556e-15,3.1655642040202787,0.16004794306917963,0.16004794306917963,0.5066420395068705,1.013284079013741,0.315899452846251,0.16004794306917963,0.6725446738142536,PASS
boundary_softness_sweep,softness,1.90625,0.0,-1.318414292249119e-14,3.157057365198706,0.15995648172067714,0.15995648172067714,0.5049917887275359,1.0099835774550718,0.3167506587061154,0.15995648172067714,0.6710890949845378,PASS
boundary_softness_sweep,softness,2.03,3.469446951953614e-16,-1.9392548848955296e-14,3.1506837656838043,0.15987373359652818,0.15987373359652818,0.5037115770018388,1.0074231540036775,0.31739142178956475,0.15987373359652818,0.6699577029350079,PASS
boundary_softness_sweep,softness,2.1537499999999996,0.0,-2.7121665440553306e-14,3.146241796900274,0.1597902877229296,0.1597902877229296,0.5027388819726019,1.0054777639452037,0.3178395255523265,0.1597902877229296,0.6690967912047341,PASS
boundary_softness_sweep,softness,2.2775,1.734723475976807e-16,-3.625988090534879e-14,3.143533685155277,0.1596994235959481,0.1596994235959481,0.5020205175737443,1.0040410351474887,0.3181133400039536,0.1596994235959481,0.6684602662889046,PASS
boundary_softness_sweep,softness,2.4012499999999997,0.0,-4.670953492539736e-14,3.1423703864260495,0.15959645446467605,0.15959645446467605,0.5015111722883915,1.003022344576783,0.31823110487526707,0.15959645446467605,0.6680085790166808,PASS
boundary_softness_sweep,softness,2.525,-1.734723475976807e-16,-5.826135539081821e-14,3.1425745575855504,0.15947825271056282,0.15947825271056282,0.5011722994564135,1.002344598912827,0.3182104295937484,0.15947825271056282,0.6677078968730243,PASS
